dates,result
2000-03-08 13:30:00,1.7
2000-04-10 14:10:00,2.4
2000-05-15 13:40:00,1.7
2000-06-14 12:55:00,3.9
2000-07-18 13:45:00,1.5
2000-08-23 12:30:00,2.3
2000-10-04 13:05:00,1.0
2000-10-26 13:45:00,1.3
2000-11-14 12:25:00,1.1
2000-12-12 13:35:00,1.9
2001-01-16 13:20:00,1.3
2001-02-28 12:35:00,3.1
2001-03-07 12:30:00,3.5
2001-04-11 12:40:00,2.6
2001-05-14 13:05:00,2.3
2001-06-18 13:00:00,2.7
2001-07-17 12:00:00,1.9
2001-08-22 11:40:00,1.7
2001-09-12 12:05:00,1.5
2001-10-10 13:35:00,1.9
2001-10-29 14:00:00,1.6
2001-11-28 13:55:00,2.2
2002-01-18 12:55:00,4.1
2002-02-11 12:35:00,2.5
2002-03-28 13:00:00,5.6
2002-04-29 12:35:00,3.8
2002-05-21 13:35:00,13.1
2002-06-18 13:00:00,7.5
2002-07-17 14:15:00,2.6
2002-08-21 14:15:00,2.3
2002-09-23 14:45:00,1.8
2002-10-16 13:15:00,2.9
2002-11-08 14:10:00,2.7
2002-12-09 14:20:00,3.0
2003-01-22 13:30:00,2.3
2003-02-20 13:15:00,2.5
2003-03-31 13:50:00,3.3
2003-04-16 13:45:00,2.9
2003-05-14 13:55:00,3.7
2003-06-10 14:00:00,2.6
2003-07-07 12:50:00,1.8
2003-08-27 12:15:00,3.7
2003-09-11 16:55:00,2.2
2003-10-15 14:00:00,1.5
2003-11-04 13:35:00,2.0
2003-11-28 12:45:00,2.5
2004-01-12 13:35:00,5.1
2004-02-26 13:05:00,3.4
2004-04-02 11:50:00,4.9
2004-04-20 14:20:00,4.6
2004-05-10 12:20:00,2.5
2004-06-29 13:50:00,3.1
2004-07-14 15:30:00,1.8
2004-08-25 13:20:00,2.2
2004-10-01 12:45:00,2.1
2004-10-13 12:35:00,2.4
2004-11-08 11:45:00,1.3
2004-12-17 13:50:00,12.8
2005-01-21 13:30:00,1.7
2005-03-07 12:05:00,2.87
2005-03-18 12:15:00,3.23
2005-04-06 11:55:00,2.04
2005-05-09 12:40:00,2.18
2005-06-22 11:55:00,1.95
2005-07-13 12:10:00,2.15
2005-08-26 10:50:00,1.39
2005-09-19 11:50:00,1.52
2005-10-26 10:30:00,1.84
2005-12-07 14:55:00,1.57
2005-12-22 11:40:00,1.91
2006-01-16 11:30:00,2.06
2006-02-10 11:25:00,1.68
2006-02-15 08:25:00,12.3
2006-02-15 09:45:00,5.2
2006-02-15 06:15:00,8.5
2006-02-15 07:15:00,8.1
2006-03-24 11:25:00,4.3
2006-04-24 10:50:00,4.2
2006-05-16 11:40:00,1.9
2006-05-21 18:20:00,3.6
2006-06-30 10:55:00,1.9
2006-07-13 07:10:00,1.8
2006-07-13 08:40:00,2.0
2006-07-13 10:00:00,2.9
2006-07-13 12:20:00,2.3
2006-07-13 14:00:00,2.5
2006-07-13 15:30:00,2.1
2006-07-13 16:41:00,1.8
2006-07-13 17:55:00,1.9
2006-07-13 19:07:00,1.9
2006-08-14 13:30:00,2.9
2006-08-21 12:30:00,1.6
2006-09-01 12:20:00,1.5
2006-09-13 11:15:00,3.7
2006-10-09 13:35:00,1.3
2006-11-15 11:45:00,1.9
2006-11-27 11:50:00,2.4
2007-01-16 12:05:00,2.0
2007-02-07 11:50:00,1.8
2007-04-04 11:35:00,3.5
2007-05-02 11:20:00,1.5
2007-06-05 11:10:00,1.5
2007-07-11 12:10:00,1.4
2007-07-31 12:35:00,1.9
2007-09-21 12:05:00,1.2
2007-10-03 12:00:00,1.3
2007-10-12 12:10:00,1.1
2007-11-28 12:20:00,1.3
2007-12-09 15:15:00,1.8
2011-11-07 10:50:00,1.9
2012-01-30 12:05:00,2.0
2014-05-13 12:32:00,1.68
2014-06-24 13:08:00,1.42
2014-07-22 15:40:00,1.18
2014-08-20 11:07:00,1.48
2014-09-15 12:35:00,1.2
2014-10-14 11:03:00,5.92
2014-11-10 12:02:00,2.1
2014-12-09 11:50:00,1.72
2015-01-23 11:07:00,2.08
2015-02-16 10:28:00,1.86
2015-03-03 15:15:00,2.56
2015-04-07 13:07:00,2.01
2015-05-29 13:21:00,1.17
2015-06-26 12:05:00,1.15
2015-07-13 11:18:00,1.24
2015-08-27 15:51:00,2.14
2015-09-17 13:17:00,3.83
2015-10-19 14:34:00,1.24
2015-11-05 10:07:00,1.28
2015-12-16 11:27:00,2.92
