dates,result
2003-01-22 13:30:00,7.03
2003-02-20 13:15:00,8.72
2003-03-31 13:50:00,11.6
2003-04-16 13:45:00,6.99
2003-05-14 13:55:00,8.59
2003-06-10 14:00:00,8.81
2003-07-07 12:50:00,10.3
2003-08-27 12:15:00,12.1
2003-09-11 16:55:00,13.4
2003-10-15 14:00:00,11.9
2003-11-04 13:35:00,12.7
2003-11-28 12:45:00,10.8
2004-01-12 13:35:00,7.44
2004-02-26 13:05:00,9.16
2004-04-02 11:50:00,10.8
2004-04-20 14:20:00,11.4
2004-05-10 12:20:00,4.06
2004-06-29 13:50:00,9.19
2004-07-14 15:30:00,11.6
2004-08-25 13:20:00,7.99
2004-10-01 12:45:00,10.5
2004-10-13 12:35:00,13.9
2004-11-08 11:45:00,12.6
2004-12-17 13:50:00,7.43
2005-01-21 13:30:00,16.4
2005-03-07 12:05:00,15.1
2005-03-18 12:15:00,14.6
2005-04-06 11:55:00,14.3
2005-05-09 12:40:00,18.4
2005-06-22 11:55:00,15.2
2005-07-13 12:10:00,14.3
2005-08-26 10:50:00,11.7
2005-09-19 11:50:00,16.2
2005-10-26 10:30:00,13.0
2005-12-07 14:55:00,20.2
2005-12-22 11:40:00,18.4
2006-01-16 11:30:00,15.3
2006-02-10 11:25:00,19.1
2006-02-15 08:25:00,8.46
2006-02-15 09:45:00,7.2
2006-02-15 06:15:00,16.6
2006-02-15 07:15:00,15.4
2006-03-24 11:25:00,18.2
2006-04-24 10:50:00,15.7
2006-05-16 11:40:00,16.6
2006-06-30 10:55:00,13.7
2006-08-21 12:30:00,13.4
2006-09-01 12:20:00,17.7
2006-09-13 11:15:00,6.11
2006-10-09 13:35:00,14.7
2006-11-15 11:45:00,16.1
2006-11-27 11:50:00,10.2
2007-01-16 12:05:00,17.8
2007-02-07 11:50:00,18.8
2007-04-04 11:35:00,15.5
2007-05-02 11:20:00,15.9
2007-06-05 11:10:00,15.0
2007-07-11 12:10:00,12.2
2007-07-31 12:35:00,11.4
2007-09-21 12:05:00,17.5
2007-10-03 12:00:00,12.9
2007-10-12 12:10:00,14.9
2007-11-28 12:20:00,18.6
2007-12-09 15:15:00,10.2
2008-02-06 11:15:00,10.1
2008-02-28 13:00:00,17.4
2008-03-17 12:00:00,8.97
2008-04-24 11:20:00,13.2
2008-06-04 11:20:00,10.2
2008-08-14 11:00:00,11.0
2008-09-09 10:55:00,12.2
2008-09-24 11:50:00,15.9
2008-10-21 12:15:00,13.5
2008-11-04 11:20:00,13.7
2008-12-02 12:30:00,13.5
2008-12-17 10:55:00,15.5
2009-01-08 11:00:00,19.5
2009-02-18 11:50:00,13.0
2009-03-05 10:30:00,10.1
2009-03-19 11:30:00,15.0
