dates,result
2021-06-15 14:39:00,0.41
2021-06-30 16:23:00,0.4
2021-07-26 12:30:00,0.91
2021-10-26 10:18:00,0.33
2021-11-23 11:30:00,0.24
2021-12-15 14:11:00,0.25
2022-01-31 11:34:00,0.32
2022-02-14 13:50:00,0.34
2022-03-14 11:17:00,0.3
2022-04-25 12:32:00,0.15
2022-05-31 10:10:00,0.3
2022-06-24 11:25:00,0.39
2022-07-27 13:16:00,0.34
2022-09-29 11:49:00,0.38
2022-11-16 10:28:00,0.35
