TH-PLER0049,TH-PLER0056,TH-PLER0057,TH-RSN1521
"[51.561955, -0.043731]", "[51.542601, -0.015718]", "[51.51502590800285, 0.003856985351303995]", "[51.52814861127258, -0.009638598222689672]"
TH-PLER0049: LEE ABOVE LEA BRIDGE WEIR, TH-PLER0057: LEE AT CARPENTERS RD, TH-PLER0056: LEE AT CANNING TOWN BRIDGE, TH-RSN1521: LEE@THREE MILLS YARD TOTTENHAM-BOW LOCK
